Id,day_of_week,day_of_week_num,avg_sedentary_minutes,avg_sedentary_wear_only,total_days,nonwear_days
1503960366,Monday,1,899.0,899.0,4,0
1503960366,Tuesday,2,779.6,779.6,5,0
1503960366,Wednesday,3,910.0,910.0,5,0
1503960366,Thursday,4,1027.0,923.75,5,1
1503960366,Friday,5,878.0,878.0,4,0
1503960366,Saturday,6,762.5,762.5,4,0
1503960366,Sunday,7,638.0,638.0,4,0
1503960366,Overall,8,848.16,828.43,31,1
1624580081,Monday,1,1265.5,1265.5,4,0
1624580081,Tuesday,2,1307.6,1307.6,5,0
1624580081,Wednesday,3,1292.8,1292.8,5,0
1624580081,Thursday,4,1198.2,1198.2,5,0
1624580081,Friday,5,1303.25,1303.25,4,0
1624580081,Saturday,6,1229.25,1229.25,4,0
1624580081,Sunday,7,1201.25,1201.25,4,0
1624580081,Overall,8,1257.74,1257.74,31,0
1644430081,Monday,1,1097.25,1097.25,4,0
1644430081,Tuesday,2,1152.8,1152.8,5,0
1644430081,Wednesday,3,1199.4,1199.4,5,0
1644430081,Thursday,4,1256.25,1256.25,4,0
1644430081,Friday,5,1216.0,1216.0,4,0
1644430081,Saturday,6,1088.75,1088.75,4,0
1644430081,Sunday,7,1115.5,1115.5,4,0
1644430081,Overall,8,1161.87,1161.87,30,0
1844505072,Monday,1,1382.75,1211.0,4,3
1844505072,Tuesday,2,1333.4,1262.33,5,2
1844505072,Wednesday,3,1372.6,1355.75,5,1
1844505072,Thursday,4,1025.8,1025.8,5,0
1844505072,Friday,5,1066.75,1066.75,4,0
1844505072,Saturday,6,1063.0,937.33,4,1
1844505072,Sunday,7,1174.0,908.0,4,2
1844505072,Overall,8,1206.61,1111.14,31,9
1927972279,Monday,1,1372.0,1349.33,4,1
1927972279,Tuesday,2,1217.0,1068.33,5,2
1927972279,Wednesday,3,1331.8,1169.5,5,3
1927972279,Thursday,4,1261.0,1141.67,5,2
1927972279,Friday,5,1285.75,1234.33,4,1
1927972279,Saturday,6,1391.75,1343.5,4,2
1927972279,Sunday,7,1398.25,1356.5,4,2
1927972279,Overall,8,1317.42,1228.89,31,13
2022484408,Monday,1,1107.25,1107.25,4,0
2022484408,Tuesday,2,1116.6,1116.6,5,0
2022484408,Wednesday,3,1102.0,1102.0,5,0
2022484408,Thursday,4,1027.8,1027.8,5,0
2022484408,Friday,5,1107.25,1107.25,4,0
2022484408,Saturday,6,1185.0,1185.0,4,0
2022484408,Sunday,7,1165.0,1165.0,4,0
2022484408,Overall,8,1112.58,1112.58,31,0
2026352035,Monday,1,785.5,785.5,4,0
2026352035,Tuesday,2,898.4,898.4,5,0
2026352035,Wednesday,3,594.2,594.2,5,0
2026352035,Thursday,4,567.4,567.4,5,0
2026352035,Friday,5,600.5,600.5,4,0
2026352035,Saturday,6,611.25,611.25,4,0
2026352035,Sunday,7,770.75,770.75,4,0
2026352035,Overall,8,689.42,689.42,31,0
2320127002,Monday,1,1263.5,1263.5,4,0
2320127002,Tuesday,2,1192.0,1192.0,5,0
2320127002,Wednesday,3,1227.4,1227.4,5,0
2320127002,Thursday,4,1190.2,1190.2,5,0
2320127002,Friday,5,1250.0,1250.0,4,0
2320127002,Saturday,6,1175.25,1175.25,4,0
2320127002,Sunday,7,1255.0,1255.0,4,0
2320127002,Overall,8,1220.1,1220.1,31,0
2347167796,Monday,1,665.5,665.5,2,0
2347167796,Tuesday,2,781.33,781.33,3,0
2347167796,Wednesday,3,770.0,770.0,3,0
2347167796,Thursday,4,743.33,743.33,3,0
2347167796,Friday,5,501.0,501.0,3,0
2347167796,Saturday,6,779.5,779.5,2,0
2347167796,Sunday,7,546.0,546.0,2,0
2347167796,Overall,8,687.17,687.17,18,0
2873212765,Monday,1,1099.25,1099.25,4,0
2873212765,Tuesday,2,1074.6,1074.6,5,0
2873212765,Wednesday,3,1080.2,1080.2,5,0
2873212765,Thursday,4,1034.2,1034.2,5,0
2873212765,Friday,5,1069.0,1069.0,4,0
2873212765,Saturday,6,1158.25,1158.25,4,0
2873212765,Sunday,7,1190.5,1190.5,4,0
2873212765,Overall,8,1097.19,1097.19,31,0
3372868164,Monday,1,1047.0,1047.0,2,0
3372868164,Tuesday,2,1102.33,1102.33,3,0
3372868164,Wednesday,3,1083.33,1083.33,3,0
3372868164,Thursday,4,1043.67,1043.67,3,0
3372868164,Friday,5,1125.67,1125.67,3,0
3372868164,Saturday,6,1106.0,1106.0,3,0
3372868164,Sunday,7,1024.67,1024.67,3,0
3372868164,Overall,8,1077.55,1077.55,20,0
3977333714,Monday,1,814.5,814.5,4,0
3977333714,Tuesday,2,716.4,716.4,5,0
3977333714,Wednesday,3,635.6,635.6,5,0
3977333714,Thursday,4,749.25,749.25,4,0
3977333714,Friday,5,698.75,698.75,4,0
3977333714,Saturday,6,694.25,694.25,4,0
3977333714,Sunday,7,659.75,659.75,4,0
3977333714,Overall,8,707.53,707.53,30,0
4020332650,Monday,1,1363.25,1337.67,4,1
4020332650,Tuesday,2,1063.2,812.0,5,2
4020332650,Wednesday,3,1229.4,913.5,5,3
4020332650,Thursday,4,1190.8,1024.67,5,2
4020332650,Friday,5,1258.5,1077.0,4,2
4020332650,Saturday,6,1339.5,1239.0,4,2
4020332650,Sunday,7,1273.25,1106.5,4,2
4020332650,Overall,8,1237.26,1070.29,31,14
4057192912,Tuesday,2,1276.0,1276.0,1,0
4057192912,Wednesday,3,1280.0,1280.0,1,0
4057192912,Thursday,4,1440.0,,1,1
4057192912,Friday,5,873.0,873.0,1,0
4057192912,Overall,8,1217.25,1143.0,4,1
4319703577,Monday,1,610.75,610.75,4,0
4319703577,Tuesday,2,783.4,619.25,5,1
4319703577,Wednesday,3,853.0,853.0,5,0
4319703577,Thursday,4,672.6,672.6,5,0
4319703577,Friday,5,694.25,694.25,4,0
4319703577,Saturday,6,637.75,637.75,4,0
4319703577,Sunday,7,873.5,873.5,4,0
4319703577,Overall,8,735.81,712.33,31,1
4388161847,Monday,1,1006.5,1006.5,4,0
4388161847,Tuesday,2,889.8,752.25,5,1
4388161847,Wednesday,3,829.0,829.0,5,0
4388161847,Thursday,4,879.4,879.4,5,0
