Id,avg_sleep_hours,avg_time_in_bed_hours,avg_sleep_minutes,avg_bed_minutes,nights_logged
1503960366,6.0,6.39,360.28,383.2,25
1644430081,4.9,5.77,294.0,346.0,4
1844505072,10.87,16.02,652.0,961.0,3
1927972279,6.95,7.3,417.0,437.8,5
2026352035,8.44,8.96,506.18,537.64,28
2320127002,1.02,1.15,61.0,69.0,1
2347167796,7.45,8.19,446.8,491.33,15
3977333714,4.89,7.69,293.64,461.14,28
4020332650,5.82,6.33,349.38,379.75,8
4319703577,7.94,8.37,476.65,501.96,26
4388161847,6.67,7.05,400.17,423.22,23
4445114986,6.42,6.95,385.18,416.82,28
4558609924,2.13,2.33,127.6,140.0,5
4702921684,6.96,7.3,417.48,438.22,27
5553957443,7.72,8.43,463.48,505.87,31
5577150313,7.2,7.68,432.0,460.62,26
6117666160,7.98,8.5,478.78,510.17,18
6775888955,5.83,6.15,349.67,369.0,3
6962181067,7.47,7.77,448.0,466.13,31
7007744171,1.14,1.19,68.5,71.5,2
7086361926,7.55,7.77,453.13,466.42,24
8053475328,4.95,5.03,297.0,301.67,3
8378563200,7.42,8.1,445.13,485.94,31
8792009665,7.26,7.56,435.67,453.8,15
Overall,6.99,7.64,419.17,458.48,410
