Id,avg_daily_steps,valid_days_tracked,activity_segment
8877689391,16040.03,31,Heavy
8053475328,14763.29,31,Heavy
1503960366,12520.63,30,Heavy
7007744171,11776.36,25,Heavy
2022484408,11370.65,31,Heavy
3977333714,10984.57,30,Heavy
4388161847,10837.0,30,Heavy
6962181067,9794.81,31,Moderate
7086361926,9684.17,30,Moderate
2347167796,9519.67,18,Moderate
5577150313,8897.61,28,Moderate
4702921684,8857.8,30,Moderate
8378563200,8717.71,31,Moderate
5553957443,8612.58,31,Moderate
6117666160,8578.61,23,Moderate
4558609924,7685.13,31,Moderate
8583815059,7630.2,25,Moderate
2873212765,7555.77,31,Moderate
1644430081,7282.97,30,Moderate
4319703577,7252.7,30,Moderate
3372868164,6861.65,20,Moderate
8253242879,6842.28,18,Moderate
6290855005,6553.48,25,Moderate
1624580081,5743.9,31,Moderate
2026352035,5566.87,31,Moderate
4057192912,5117.33,3,Moderate
4445114986,4796.55,31,Light
2320127002,4716.87,31,Light
4020332650,4134.35,17,Light
6775888955,3853.65,17,Light
1844505072,3635.55,22,Light
8792009665,2687.9,20,Light
1927972279,1577.78,18,Light
