Id,days_logged,total_study_days,wear_pct,valid_wear_days,nonwear_days
1503960366,31,31,100.0,30,1
1624580081,31,31,100.0,31,0
1844505072,31,31,100.0,22,9
1927972279,31,31,100.0,18,13
2022484408,31,31,100.0,31,0
2026352035,31,31,100.0,31,0
2320127002,31,31,100.0,31,0
2873212765,31,31,100.0,31,0
4020332650,31,31,100.0,17,14
4319703577,31,31,100.0,30,1
4388161847,31,31,100.0,30,1
4445114986,31,31,100.0,31,0
4558609924,31,31,100.0,31,0
4702921684,31,31,100.0,30,1
5553957443,31,31,100.0,31,0
6962181067,31,31,100.0,31,0
7086361926,31,31,100.0,30,1
8053475328,31,31,100.0,31,0
8378563200,31,31,100.0,31,0
8583815059,31,31,100.0,25,6
8877689391,31,31,100.0,31,0
1644430081,30,31,96.77,30,0
3977333714,30,31,96.77,30,0
5577150313,30,31,96.77,28,2
6290855005,29,31,93.55,25,4
8792009665,29,31,93.55,20,9
6117666160,28,31,90.32,23,5
6775888955,26,31,83.87,17,9
7007744171,26,31,83.87,25,1
3372868164,20,31,64.52,20,0
8253242879,19,31,61.29,18,1
2347167796,18,31,58.06,18,0
4057192912,4,31,12.9,3,1
